"ID","SchoolPeriod","Song","Plays"
"1mAey8kEPmDM2icL56kS9d","Sophomore Year","42 Dugg ~ 4 Da Gang (with Roddy Ricch)",53
"2p8IUWQDrpjuFltbdgLOag","Sophomore Year","The Weeknd ~ After Hours",53
"58k32my5lKofeZRtIvBDg9","Sophomore Year","Baby Keem ~ HONEST",53
"3pXF1nA74528Edde4of9CC","12th Grade","Bryson Tiller ~ Don't",52
"6Bs8KdjRAuv3rzCIdchXwu","Freshman Year","Kid Cudi ~ Enter Galactic (Love Connection Part I)",52
"13QU8HBEBaSTZGq1HzQe9S","Freshman Year","Don Toliver ~ Euphoria (feat. Travis Scott & Kaash Paige)",52
"6OaVWaGfhXn70ZJfdVcabn","12th Grade","Travis Scott ~ NO BYSTANDERS",51
"6t5zloC7h0EQllwYph9brV","12th-Freshman Summer","The Weeknd ~ Hardest To Love",51
"6NMtzpDQBTOfJwMzgMX0zl","12th-Freshman Summer","Travis Scott ~ SKELETONS",51
"10HsXXmKdge6ugPcTolceY","12th-Freshman Summer","The Weeknd ~ Scared To Live",51
"3d9DChrdc6BOeFsbrZ3Is0","Freshman Year","Red Hot Chili Peppers ~ Under the Bridge",51
"2Zy7XVdxyZQB8xp5xbpJdl","Freshman Year","Travis Scott ~ way back",51
"15EPc80XuFrb2LmOzGjuRg","Freshman-Sophomore Summer","GoldLink ~ Crew (feat. Brent Faiyaz & Shy Glizzy)",51
"5bvnqVuq7UFl0txSlHpsfS","12th Grade","PARTYNEXTDOOR ~ LOYAL (feat. Drake)",50
"7e9tzvqywrtzSz8GjjCzye","Freshman Year","Bryson Tiller ~ Exchange",50
"4dTaAiV9xFFCxnPur9c9yL","Freshman Year","David Guetta ~ Memories (feat. Kid Cudi)",50
"1Is8hGpkGMiePASAxBluxM","Sophomore Year","Baby Keem ~ 16",50
"2tznHmp70DxMyr2XhWLOW0","Sophomore Year","Cage The Elephant ~ Cigarette Daydreams",50
"2cYqizR4lgvp4Qu6IQ3qGN","12th Grade","Travis Scott ~ BUTTERFLY EFFECT",49
"5iSEsR6NKjlC9SrIJkyL3k","12th-Freshman Summer","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",49
"6Nle9hKrkL1wQpwNfEkxjh","Freshman Year","Frank Ocean ~ Chanel",49
"3DK6m7It6Pw857FcQftMds","Freshman Year","Kanye West ~ Runaway",49
"2yg7MXp8nSPaf61HVkhEr3","Freshman Year","Kid Cudi ~ The Void",49
"2aWVaW1p2kUc5yuKwBmRJi","Freshman-Sophomore Summer","Jack Harlow ~ I WANNA SEE SOME ASS (feat. jetsonmade)",49
"5hVghJ4KaYES3BFUATCYn0","Sophomore Year","Tyler, The Creator ~ EARFQUAKE",49
"7eqoqGkKwgOaWNNHx90uEZ","Sophomore Year","Frank Ocean ~ Nights",49
"27a1mYSG5tYg7dmEjWBcmL","11th Grade","Travis Scott ~ CAN'T SAY",48
"6Gy7rXB6Ku5vIWC7WGWsl3","11th Grade","6ix9ine ~ KIKA",48
"43PuMrRfbyyuz4QpZ3oAwN","12th Grade","Bryson Tiller ~ Exchange",48
"4KW1lqgSr8TKrvBII0Brf8","12th Grade","Kanye West ~ Father Stretch My Hands Pt. 1",48
"31bmr5SE0qrrIPhjGbnwKP","Freshman Year","The Weeknd ~ After Hours",48
"43DHLzDkncpby82Po5jlOZ","Sophomore Year","Queen ~ Don't Stop Me Now",48
"3Z2sglqDj1rDRMF5x0Sz2R","10th Grade","Childish Gambino ~ 3005",47
"7lAK3oHbfEnvUQWosrMMpR","11th Grade","Travis Scott ~ YOSEMITE",47
"3U21A07gAloCc4P7J8rxcn","12th Grade","Kanye West ~ All Mine",47
"6QdnKD1zwEgyOWtkrdzlOF","12th Grade","The Weeknd ~ Hurt You",47
"4XNrMwGx1SqP01sqkGTDmo","12th Grade","Maroon 5 ~ One More Night",47
"5mCPDVBb16L4XQwDdbRUpz","12th Grade","Drake ~ Passionfruit",47
"75JFxkI2RXiU7L9VXzMkle","12th Grade","Coldplay ~ The Scientist",47
"7BKUWh5sdtdS17crohRe4L","9th-10th Summer","Logic ~ Black SpiderMan",47
"5FEXPoPnzueFJQCPRIrC3c","Freshman Year","Kid Cudi ~ Day 'N' Nite (nightmare)",47
"3XnkZylcAZ86QAiGVnRVy8","Freshman Year","The Weeknd ~ In Your Eyes",47
"1QEEqeFIZktqIpPI4jSVSF","Freshman Year","Boston ~ More Than a Feeling",47
"2MLHyLy5z5l5YRp7momlgw","Sophomore Year","Weezer ~ Island In The Sun",47
"1eLSF6HfrRA0AsNmTkUlKx","10th Grade","Jay Rock ~ King's Dead (with Kendrick Lamar, Future & James Blake)",46
"2cDCojn6uIBM6A5xTAbl3H","10th Grade","Kendrick Lamar ~ m.A.A.d city",46
"5jyyPsIGM2yqkZN9R3TmvN","12th Grade","Khalid ~ The Ways (with Swae Lee)",46
"7aiClxsDWFRQ0Kzk5KI5ku","12th Grade","blackbear ~ hot girl bummer",46
"5WNYg3usc6H8N3MBEp4zVk","12th-Freshman Summer","Tyler, The Creator ~ Boredom (feat. Rex Orange County & Anna of the North)",46
"4rHZZAmHpZrA3iH5zx8frV","Freshman Year","Justin Timberlake ~ Mirrors",46
"2ihL1KGMA0geIqGT5pkZzo","Freshman-Sophomore Summer","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",46
"20MuVazoNMv6xjKPnRFOxG","11th Grade","Travis Scott ~ WAKE UP",45
"3O8NlPh2LByMU9lSRSHedm","12th Grade","Drake ~ Controlla",45
"2V4bv1fNWfTcyRJKmej6Sj","12th Grade","Mike Posner ~ Cooler Than Me - Single Mix",45
"20dP2DaMHIAmwWAbp7peSr","12th Grade","Young Thug ~ pick up the phone",45
"39qRdHcl2tizWbzlM9kUlN","12th-Freshman Summer","Coldplay ~ What If",45
"2Zy7XVdxyZQB8xp5xbpJdl","12th-Freshman Summer","Travis Scott ~ way back",45
"560zE7eP6taPhWFErzRFD3","8th Grade","Jon Bellion ~ Guillotine",45
"6QdnKD1zwEgyOWtkrdzlOF","Freshman Year","The Weeknd ~ Hurt You",45
"01Ch5LzVStxCFPKkT1xg6k","Freshman Year","Travis Scott ~ sweet sweet",45
"7zJld1LpGmLsPt8IGOc0KL","Freshman-Sophomore Summer","Jack Harlow ~ HEAVY HITTER",45
"1C1OBpwB6tRViTiWE2ZgNR","10th Grade","Kendrick Lamar ~ DNA.",44
"4yoVysVzKbW0da1sayGpWp","12th Grade","Bantu ~ Jackie Chan",44
"6GSkLS2y4ZnnZsuRAj975K","12th Grade","Marshmello ~ Project Dreams",44
"7KA4W4McWYRpgf0fWsJZWB","12th-Freshman Summer","Tyler, The Creator ~ See You Again (feat. Kali Uchis)",44
"0lkQOB949M2gLyut86aJ1b","Freshman Year","Cage The Elephant ~ Cigarette Daydreams",44
"75JFxkI2RXiU7L9VXzMkle","Freshman Year","Coldplay ~ The Scientist",44
"3cjF2OFRmip8spwZYQRKxP","Sophomore Year","Drake ~ Feel No Ways",44
"3OEjvmEBRrdTYbbrkiXG8a","Sophomore Year","Baby Keem ~ cocoa (with Don Toliver)",44
"2tPcTFiQF9MbVUyjZ3zDhA","11th Grade","SOB X RBE ~ Paramedic!",43
"51EC3I1nQXpec4gDk0mQyP","12th Grade","Travis Scott ~ 90210 (feat. Kacy Hill)",43
"6nO3tr47nr2P7f3hXb8JIo","12th Grade","NAV ~ Champion (feat. Travis Scott)",43
"2Ch7LmS7r2Gy2kc64wv3Bz","12th-Freshman Summer","The Weeknd ~ Die For You",43
"3xby7fOyqmeON8jsnom0AT","12th-Freshman Summer","Travis Scott ~ Nightcrawler (feat. Swae Lee & Chief Keef)",43
"6D3XrPrsF6IUzWiEILNLkq","12th-Freshman Summer","The Weeknd ~ Until I Bleed Out",43
"7EiZI6JVHllARrX9PUvAdX","9th Grade","Future ~ Low Life (feat. The Weeknd)",43
"3Uw2se3aQU1UFrpRBvBnB4","Freshman Year","Kid Cudi ~ Sept. 16",43
"2EHEQx2avP1fNBLJf5UGYy","Freshman Year","Kid Cudi ~ Solo Dolo (Nightmare)",43
"4aVuWgvD0X63hcOCnZtNFA","Sophomore Year","TOTO ~ Hold the Line",43
"5EYi2rH4LYs6M21ZLOyQTx","Sophomore Year","Rex Orange County ~ Loving Is Easy (feat. Benny Sings)",43
"1AVm6MTy8qpaFi0gAa7Hlw","Sophomore Year","Jack Harlow ~ SYLVIA (feat. 2forwOyNE)",43
"0TSyYtpSnQrLqsnbSTALTP","Sophomore Year","Baby Keem ~ no sense",43
"6xagjcywpcyNFghafZPQJv","Sophomore-Junior Summer","Miguel ~ Banana Clip",43
"7BKUWh5sdtdS17crohRe4L","10th Grade","Logic ~ Black SpiderMan",42
"26Ke3Jpz2WY7sV1Yojgz2p","11th Grade","Dizaro ~ Sunny Day",42
"2zjGJ0dChMR0KxBZS15aqo","12th Grade","Mustard ~ Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",42
"7lAK3oHbfEnvUQWosrMMpR","12th Grade","Travis Scott ~ YOSEMITE",42
"3orEOtd8CPL8GFlpRpKuoE","12th-Freshman Summer","The Weeknd ~ Faith",42
"0zzc5kYkzTmWmwrn3CTk5v","12th-Freshman Summer","The Weeknd ~ Too Late",42
"5tz69p7tJuGPeMGwNTxYuV","9th-10th Summer","Logic ~ 1-800-273-8255",42
"7cGFbx7MP0H23iHZTZpqMM","9th-10th Summer","Logic ~ Everybody",42
"7pBrj5rt4SSxXwFKOyZfHR","Freshman Year","Absofacto ~ Dissolve",42
"3pXF1nA74528Edde4of9CC","Freshman Year","Bryson Tiller ~ Don't",42
"4aVuWgvD0X63hcOCnZtNFA","Freshman Year","TOTO ~ Hold the Line",42
"6t6oULCRS6hnI7rm0h5gwl","Freshman Year","fun. ~ Some Nights",42
"0TSyYtpSnQrLqsnbSTALTP","Freshman-Sophomore Summer","Baby Keem ~ no sense",42
"4Y6GIje3GErVRIq1Ff5BJq","Sophomore Year","Cage The Elephant ~ Black Madonna",42
"3orEOtd8CPL8GFlpRpKuoE","Sophomore Year","The Weeknd ~ Faith",42
"3sTN90bIP2cJ1783ctHykO","Sophomore Year","Mura Masa ~ Love$ick (feat. A$AP Rocky)",42
"28qA8y1sz0FTuSapsCxNOG","Sophomore-Junior Summer","Kendrick Lamar ~ Father Time (feat. Sampha)",42
"5hmv0zcBcIX8OIVG98imHa","Sophomore-Junior Summer","Larry June ~ Smoothies In 1991",42
"6gBFPUFcJLzWGx4lenP6h2","11th Grade","Travis Scott ~ goosebumps",41
"2zJZwWF7BTGIIvrAlgzJEx","12th Grade","Jason Derulo ~ Whatcha Say",41
"0Li1OuXXfi7950ilZUFGkF","Freshman Year","Don Toliver ~ Cardigan",41
"1cKHdTo9u0ZymJdPGSh6nq","Freshman Year","The Weeknd ~ I Was Never There",41
"1Ud6moTC0KyXMq1Oxfien0","Freshman Year","The Rolling Stones ~ Sympathy For The Devil - 50th Anniversary Edition",41
"1cdC9TCqyLwAlsw3fVJaJS","Sophomore Year","Kid Cudi ~ Soundtrack 2 My Life",41
"7Ks4VCY1wFebnOdJrM13t6","Sophomore-Junior Summer","Kendrick Lamar ~ Wesley's Theory",41
"7cGFbx7MP0H23iHZTZpqMM","10th Grade","Logic ~ Everybody",40
"2tPcTFiQF9MbVUyjZ3zDhA","10th Grade","SOB X RBE ~ Paramedic!",40
"51EC3I1nQXpec4gDk0mQyP","11th Grade","Travis Scott ~ 90210 (feat. Kacy Hill)",40
"0DJBgBiYeSn6n1AXAkFVE8","11th Grade","Jorja Smith ~ I Am",40
"1PHEt8tMzlYut1Z4Olcg8O","12th Grade","Osibih ~ Come Closer",40
"5GG3knKdxKWrNboRijxeKF","12th Grade","Bryson Tiller ~ Run Me Dry",40
"7KXjTSCq5nL1LoYtL7XAwS","9th Grade","Kendrick Lamar ~ HUMBLE.",40
"3rOSwuTsUlJp0Pu0MkN8r8","9th Grade","Future ~ Mask Off",40
"7l28SBHS3zmKDVnOzG8BM7","Freshman Year","CHASE B ~ Cafeteria (feat. Gunna)",40
"5WnfnSpuNEGXyEt78PBA6d","Freshman Year","Dreamville ~ Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",40
"6xxvhqxfBAhAOsf8OJ5shT","Freshman Year","Baby Keem ~ INVENTED IT",40
"46MX86XQqYCZRvwPpeq4Gi","Freshman Year","Aliotta Haynes Jeremiah ~ Lake Shore Drive",40
"7iN1s7xHE4ifF5povM6A48","Freshman Year","The Beatles ~ Let It Be - Remastered 2009",40
"1mea3bSkSGXuIRvnydlB5b","Freshman Year","Coldplay ~ Viva La Vida",40
"70whMGrt6rwbkPlXGNtTBw","Freshman-Sophomore Summer","Jack Harlow ~ GHOST",40
"0LcsvJQSFIQo3RjNhPcYqT","Sophomore Year","Jack Harlow ~ Luv Is Dro (feat. Static Major & Bryson Tiller)",40
"3xKsf9qdS1CyvXSMEid6g8","Sophomore Year","Frank Ocean ~ Pink + White",40
"5SiH1JfdmqgWrK6BHBjbCX","10th Grade","Logic ~ Gang Related",39
"2IRZnDFmlqMuOrYOLnZZyc","11th Grade","Meek Mill ~ Going Bad (feat. Drake)",39
"1rqqCSm0Qe4I9rUvWncaom","12th Grade","Panic! At The Disco ~ High Hopes",39
"5WoaF1B5XIEnWfmb5NZikf","12th Grade","Miguel ~ Sky Walker (feat. Travis Scott)",39
"1wHZx0LgzFHyeIZkUydNXq","12th-Freshman Summer","Travis Scott ~ Antidote",39
"7KXjTSCq5nL1LoYtL7XAwS","9th-10th Summer","Kendrick Lamar ~ HUMBLE.",39
"2QIbiBkgr2pepvCkmWi3Vn","Freshman Year","The Weeknd ~ Faith",39
"5FkoSXiJPKTNyYgALRJFhD","Freshman Year","Baby Keem ~ ORANGE SODA",39
"608xszaAxVh4m7NcKJiAbF","Freshman Year","Eagles ~ One of These Nights - 2013 Remaster",39
"7MmG8p0F9N3C4AXdK6o6Eb","Freshman Year","Calvin Harris ~ Outside (feat. Ellie Goulding)",39
"37F0uwRSrdzkBiuj0D5UHI","Freshman Year","The Weeknd ~ Reminder",39
"3oDkdAySo1VQQG0ptV7uwa","Sophomore Year","Juice WRLD ~ Lean Wit Me",39
"5tz69p7tJuGPeMGwNTxYuV","10th Grade","Logic ~ 1-800-273-8255",38
"2XW4DbS6NddZxRPm5rMCeY","10th Grade","Drake ~ God's Plan",38
"0AOvNRgl0SMfOibWA5bP8o","10th Grade","Kendrick Lamar ~ Money Trees",38
"1kxeWHF9PrCVZHvVskv8lg","12th Grade","Kanye West ~ Love Lockdown",38
"4KW1lqgSr8TKrvBII0Brf8","12th-Freshman Summer","Kanye West ~ Father Stretch My Hands Pt. 1",38
"6HZILIRieu8S0iqY8kIKhj","9th-10th Summer","Kendrick Lamar ~ DNA.",38
"6vnfObZ4Ys70SBAtti1xZ9","Freshman Year","Travis Scott ~ COFFEE BEAN",38
"0BCPKOYdS2jbQ8iyB56Zns","Freshman Year","Coldplay ~ Clocks",38
"5hVghJ4KaYES3BFUATCYn0","Freshman Year","Tyler, The Creator ~ EARFQUAKE",38
"3tjFYV6RSFtuktYl3ZtYcq","Freshman Year","24kGoldn ~ Mood (feat. iann dior)",38
"0mEdbdeRFQwBhN4xfyIeUM","Sophomore Year","Kanye West ~ Can't Tell Me Nothing",38
"3yt2uGIGep27Q3vtwMXM7d","Sophomore Year","Pacific Air ~ Float",38
"2pg2TiYo9Rb8KeB5JjP7jS","Sophomore Year","Jhene Aiko ~ Sativa",38
"1D2L6MefbXon28PzIk9I3r","11th Grade","Post Malone ~ 92 Explorer",37
"6LxSe8YmdPxy095Ux6znaQ","11th Grade","Drake ~ Headlines",37
"5J4ZkQpzMUFojo1CtAZYpn","11th Grade","Ariana Grande ~ Love Me Harder",37
"4qDHt2ClApBBzDAvhNGWFd","12th Grade","Noisestorm ~ Crab Rave",37
"6I6NX6tjGsxFAsIfGzY9lJ","12th Grade","J. Cole ~ Deja Vu",37
"696DnlkuDOXcMAnKlTgXXK","12th Grade","Arizona Zervas ~ ROXANNE",37
"6gBFPUFcJLzWGx4lenP6h2","12th Grade","Travis Scott ~ goosebumps",37
"0CgmIFWtFN6uPnXzJ4cfYZ","9th-10th Summer","Logic ~ Flexicution",37
"7EiZI6JVHllARrX9PUvAdX","9th-10th Summer","Future ~ Low Life (feat. The Weeknd)",37
"0qdQUeKVyevrbKhAo0ibxS","Freshman Year","George Harrison ~ My Sweet Lord - Remastered 2014",37
"10HsXXmKdge6ugPcTolceY","Freshman Year","The Weeknd ~ Scared To Live",37
"0sd6BRTa0O96tfEbFGhJF9","Freshman Year","Kendrick Lamar ~ Sing About Me, I'm Dying Of Thirst",37
"2AYEOC02WLhUiOoaig2SEH","Freshman-Sophomore Summer","Fitz and The Tantrums ~ Out of My League",37
"00CqEmnPLFKDhAb3cuu6Cs","Sophomore Year","Cage The Elephant ~ Halo",37
"2AYEOC02WLhUiOoaig2SEH","Sophomore Year","Fitz and The Tantrums ~ Out of My League",37
"7tr2za8SQg2CI8EDgrdtNl","Sophomore Year","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",37
"2ihL1KGMA0geIqGT5pkZzo","Sophomore Year","Jack Harlow ~ WARSAW (feat. 2forwOyNE)",37
"2UOYzhusMTypF7oAQwksCj","Sophomore-Junior Summer","Kendrick Lamar ~ Hood Politics",37
"7kfTqGMzIHFWeBeOJALzRf","10th Grade","Drake ~ Headlines",36
"7EiZI6JVHllARrX9PUvAdX","10th Grade","Future ~ Low Life (feat. The Weeknd)",36
"0m1KYWlT6LhFRBDVq9UNx4","11th Grade","Drake ~ HYFR (Hell Ya Fucking Right)",36
"1GtVGc1UYin3zpMUdNSSpM","11th Grade","Logic ~ Midnight",36
"1xzBco0xcoJEDXktl7Jxrr","11th Grade","Sheck Wes ~ Mo Bamba",36
"7wBJfHzpfI3032CSD7CE2m","11th Grade","Travis Scott ~ STARGAZING",36
"6hPSal3ragmfUt1I5mKZjn","Freshman Year","Kid Cudi ~ Mojo So Dope",36
"1GqlvSEtMx5xbGptxOTTyk","Freshman Year","Boston ~ Peace of Mind",36
"0lkQOB949M2gLyut86aJ1b","Freshman-Sophomore Summer","Cage The Elephant ~ Cigarette Daydreams",36
"5iSEsR6NKjlC9SrIJkyL3k","Freshman-Sophomore Summer","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",36
"5FkoSXiJPKTNyYgALRJFhD","Sophomore Year","Baby Keem ~ ORANGE SODA",36
"0WSEq9Ko4kFPt8yo3ICd6T","Sophomore Year","Kanye West ~ Praise God",36
"1AgSUWSzmza5jF6ER5R68v","Sophomore Year","Jack Harlow ~ THRU THE NIGHT (feat. Bryson Tiller)",36
"43O3Iu8mDJy10i6k8SVRXX","Sophomore Year","Cage The Elephant ~ Take It or Leave It",36
"58k32my5lKofeZRtIvBDg9","Sophomore-Junior Summer","Baby Keem ~ HONEST",36
"3e7Y6sfFlIdBMJhX7wpqVO","10th Grade","Logic ~ 44 More",35
"2SzjMcZIsE2zUWQnccsTAo","10th Grade","Travis Scott ~ goosebumps",35
"0Z1nbG2KOuRKntstSAkSox","11th Grade","Tory Lanez ~ FeRRis WhEEL (feat. Trippie Redd)",35
"1D2BhY5iMzaGDXxGbA6i7q","11th Grade","Deraj ~ Hold You Down (feat. GNRA)",35
"3Ol2xnObFdKV9pmRD2t9x8","11th Grade","A Boogie Wit da Hoodie ~ Look Back at It",35
"62vpWI1CHwFy7tMIcSStl8","11th Grade","J. Cole ~ No Role Modelz",35
"09mEdoA6zrmBPgTEN5qXmN","12th Grade","The Weeknd ~ Call Out My Name",35
"4sWuPniHClkInYAnzXAYUF","12th Grade","NLE Choppa ~ Camelot",35
"3VyjsVV24RmBIbWJAeUJNu","12th Grade","Don Toliver ~ No Idea",35
"46UzHOkZjRKG0Hnuv4XLPA","12th Grade","Osibih ~ Pressure 2.0",35
"1xYpVRspgaLxdJLOTQkTjg","12th-Freshman Summer","Travis Scott ~ STOP TRYING TO BE GOD",35
"4MXhiYIRDMGAuvZc5IFTwC","Freshman Year","Travis Scott ~ ASTROTHUNDER",35
"2mCF8L0brIs88eH6Kf2h9p","Freshman Year","Jonas Blue ~ Fast Car",35
"2dJ4rGtsOHOgvTQawsCRtg","Freshman Year","Travis Scott ~ Pray 4 Love (feat. The Weeknd)",35
"6gpcs5eMhJwax4mIfKDYQk","Freshman Year","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",35
"6MWH4pJQ5QYjidX2A2KECd","Freshman Year","Kid Cudi ~ Up Up & Away",35
"2LBqCSwhJGcFQeTHMVGwy3","Sophomore Year","The Weeknd ~ Die For You",35
"1xYpVRspgaLxdJLOTQkTjg","11th Grade","Travis Scott ~ STOP TRYING TO BE GOD",34
"05KOgYg8PGeJyyWBPi5ja8","12th Grade","Drake ~ Free Smoke",34
"0w2piYWj1F2bzUftzGJgK9","12th Grade","Kanye West ~ Paranoid",34
"6Hj9jySrnFppAI0sEMCZpJ","12th Grade","Juice WRLD ~ Robbery",34
"6G0FACzGN80Dj2v4ass5rq","12th Grade","iann dior ~ gone girl",34
"4MXhiYIRDMGAuvZc5IFTwC","12th-Freshman Summer","Travis Scott ~ ASTROTHUNDER",34
"282L6SR4Y8Rs0VUgtEy1Zw","9th-10th Summer","J. Cole ~ She Knows (feat. Amber Coffman & Cults)",34
