"Season","Album","Plays"
"Spring","Kanye West ~ The Life of Pablo",229
"Winter","Daniel Caesar ~ CASE STUDY 01",229
"Summer","Denzel Curry ~ TA13OO",228
"Winter","Roddy Ricch ~ Please Excuse Me For Being Antisocial",227
"Spring","Kendrick Lamar ~ Mr. Morale & The Big Steppers",226
"Winter","Future ~ FUTURE",226
"Fall","Kendrick Lamar ~ DAMN.",224
"Spring","Cage the Elephant ~ Melophobia",222
"Summer","Joey Bada$$ ~ 1999",221
"Winter","A$AP Rocky ~ AT.LONG.LAST.A$AP",220
"Winter","Mick Jenkins ~ The Water[s]",218
"Spring","Kid Cudi ~ Indicud",217
"Winter","A Boogie wit da Hoodie ~ Artist 2.0",216
"Summer","ScHoolboy Q ~ Oxymoron",214
"Summer","Drake ~ Scorpion",214
"Summer","Brent Faiyaz ~ WASTELAND",213
"Summer","PARTYNEXTDOOR ~ PARTYMOBILE",211
"Summer","Flatbush Zombies ~ 3001: A Laced Odyssey",208
"Summer","Mac Miller ~ Swimming",208
"Summer","Aries ~ WELCOME HOME",206
"Winter","Migos ~ Culture II",206
"Winter","SiR ~ November",206
"Summer","Kendrick Lamar ~ Overly Dedicated",205
"Fall","Mick Jenkins ~ Elephant in the Room",204
"Summer","Lil Uzi Vert ~ Luv Is Rage 2",204
"Fall","JID ~ DiCaprio 2",202
"Spring","Tyler, The Creator ~ IGOR",202
"Summer","Joey Bada$$ ~ Summer Knights",200
"Fall","A$AP Mob ~ Cozy Tapes, Vol. 1: Friends",199
"Fall","The Weeknd ~ Starboy",199
"Spring","Ty Dolla $ign ~ Free TC",198
"Spring","Juice WRLD ~ Goodbye & Good Riddance",198
"Summer","Mick Jenkins ~ The Healing Component",198
"Winter","J. Cole ~ 2014 Forest Hills Drive",196
"Fall","Anderson .Paak ~ Malibu",195
"Spring","whiterosemoxie ~ white ceilings",195
"Summer","Amine ~ Good For You",194
"Winter","Jack Harlow ~ Loose",194
"Fall","Drake ~ If You're Reading This It's Too Late",190
"Winter","Aries ~ WELCOME HOME",190
"Winter","JID ~ The Never Story",189
"Winter","Kendrick Lamar ~ DAMN.",187
"Summer","Vince Staples ~ Summertime '06",186
"Fall","Kid Cudi ~ Man On the Moon: The End of Day",184
"Fall","A Tribe Called Quest ~ We Got It from Here... Thank You 4 Your Service",183
"Fall","Frank Ocean ~ Blonde",182
"Fall","Aries ~ WELCOME HOME",182
"Spring","Post Malone ~ beerbongs & bentleys",182
"Fall","Lil Uzi Vert, Future ~ Pluto x Baby Pluto",181
"Summer","Bryson Tiller ~ True to Self",181
"Winter","ScHoolboy Q ~ Oxymoron",181
"Summer","Tyler, The Creator ~ Flower Boy",180
"Spring","Joey Bada$$ ~ B4.DA.$$",179
"Spring","Kota the Friend ~ Foto",179
"Spring","Domo Genesis ~ Genesis",179
"Spring","Lil Baby ~ My Turn",179
"Summer","JID ~ The Never Story",179
"Summer","Logic ~ Bobby Tarantino",178
"Winter","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",178
"Spring","Playboi Carti ~ Playboi Carti",177
"Winter","nothing,nowhere. ~ Trauma Factory",177
"Spring","The Black Keys ~ Brothers",174
"Summer","BROCKHAMPTON ~ SATURATION",174
"Spring","Travis Scott ~ Rodeo",173
"Summer","Young Thug ~ So Much Fun",173
"Spring","Pusha T ~ DAYTONA",172
"Spring","Drake ~ More Life",172
"Summer","Koi ~ Trial & Error",171
"Fall","The Beatles ~ Abbey Road (Remastered)",170
"Fall","Future ~ FUTURE",170
"Spring","BROCKHAMPTON ~ SATURATION",170
"Fall","Kendrick Lamar ~ good kid, m.A.A.d city",169
"Summer","A$AP Mob ~ Cozy Tapes, Vol. 2: Too Cozy",169
"Winter","Bryson Tiller ~ A N N I V E R S A R Y",169
"Winter","Grouplove ~ Never Trust a Happy Song",169
"Fall","Vince Staples ~ FM!",168
"Summer","Jaden ~ SYRE",168
"Winter","Khalid ~ American Teen",168
"Winter","Chance the Rapper ~ Coloring Book",168
"Spring","ScHoolboy Q ~ Blank Face LP",167
"Summer","Young Thug ~ BEAUTIFUL THUGGER GIRLS",167
"Winter","Travis Scott ~ ASTROWORLD",167
"Fall","Vince Staples ~ Summertime '06",166
"Winter","Big Sean ~ I Decided.",166
"Fall","Lil Peep ~ Come Over When You're Sober, Pt. 2 (Bonus)",164
"Winter","Verzache ~ Thought Pool",164
"Spring","blackbear ~ digital druglord",163
"Summer","A$AP Rocky ~ AT.LONG.LAST.A$AP",163
"Summer","Juice WRLD ~ Legends Never Die",163
"Fall","whiterosemoxie ~ white ceilings",162
"Spring","Isaiah Rashad ~ The Sun's Tirade",162
"Summer","JAY-Z ~ 4:44",162
"Summer","Buddy ~ Harlan & Alondra",162
"Winter","Beach House ~ Teen Dream",161
"Spring","Jack Harlow ~ Loose",160
"Winter","Lupe Fiasco ~ DROGAS Light",160
"Fall","Pusha T ~ My Name Is My Name",159
"Spring","Verzache ~ My Head Is a Moshpit",159
"Winter","A$AP Rocky ~ LONG.LIVE.A$AP",158
"Summer","Lil Baby ~ My Turn",157
"Winter","Mike WiLL Made-It ~ Ransom 2",156
"Winter","Travis Scott ~ Rodeo",156
"Fall","Young Thug, Future ~ SUPER SLIMEY",153
"Fall","Lil Wayne ~ Tha Carter V",153
"Summer","Amine ~ ONEPOINTFIVE",153
"Summer","JID, Dreamville, Bas ~ Revenge of the Dreamers III",153
"Winter","Aries ~ BELIEVE IN ME, WHO BELIEVES IN YOU",153
"Winter","Madlib, Freddie Gibbs ~ Bandana",153
"Winter","SOB X RBE ~ GANGIN",153
"Fall","Kevin Gates ~ Luca Brasi 3",152
"Fall","Earl Sweatshirt ~ Some Rap Songs",152
"Summer","SZA ~ Ctrl",152
"Summer","Kendrick Lamar ~ Mr. Morale & The Big Steppers",152
"Spring","Tee Grizzley ~ Activated",151
"Winter","Kanye West ~ Graduation",150
"Fall","PnB Rock ~ Catch These Vibes",149
"Winter","Kid Cudi ~ Passion, Pain & Demon Slayin'",149
"Fall","J. Cole ~ 2014 Forest Hills Drive",148
"Summer","Mick Jenkins ~ Pieces of a Man",148
"Winter","Kendrick Lamar ~ Overly Dedicated",148
"Spring","Lil Uzi Vert ~ Eternal Atake - LUV vs. The World 2",147
"Winter","Juice WRLD ~ Death Race for Love",147
"Winter","Lil Uzi Vert ~ Eternal Atake - LUV vs. The World 2",147
"Fall","Lil Uzi Vert ~ Luv Is Rage 2",146
"Spring","Earl Sweatshirt ~ I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",145
"Winter","Mick Jenkins ~ Pieces of a Man",145
"Summer","Tom The Mail Man ~ Sunset Visionary, Vol. 2",144
"Winter","Bryson Tiller ~ True to Self",144
"Spring","Lil Uzi Vert ~ Eternal Atake",143
"Summer","Juice WRLD ~ Goodbye & Good Riddance",142
"Winter","Mac Miller ~ Circles",142
"Winter","Drake ~ Views",142
"Fall","Big K.R.I.T. ~ 4eva Is a Mighty Long Time",141
"Fall","Chance the Rapper ~ Coloring Book",141
"Fall","Daniel Caesar ~ Freudian",141
"Spring","Drake ~ If You're Reading This It's Too Late",141
"Summer","Jazz Cartier ~ Fleurever",141
"Winter","Kota the Friend ~ Lyrics to GO, Vol. 2",141
"Winter","Lil Uzi Vert ~ The Perfect LUV Tape",141
"Winter","Smino ~ blkswn",140
"Fall","Ty Dolla $ign ~ Free TC",139
"Spring","Swae Lee, Slim Jxmmi, Rae Sremmurd ~ SR3MM",139
"Winter","Kendrick Lamar ~ untitled unmastered.",139
"Fall","ScHoolboy Q ~ Blank Face LP",138
"Summer","Future ~ HNDRXX",138
"Winter","Dave East ~ Kairi Chanel",138
"Winter","Vince Staples ~ Summertime '06",138
"Summer","Verzache ~ My Head Is a Moshpit",137
"Winter","midwxst ~ BACK IN ACTION 2.0",137
"Winter","Gunna ~ Drip or Drown 2",137
"Summer","Trippie Redd ~ A Love Letter to You 2",136
"Summer","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",136
"Fall","6LACK ~ FREE 6LACK",135
"Fall","Kanye West ~ Graduation",135
"Winter","BROCKHAMPTON ~ SATURATION III",135
"Fall","Lil Uzi Vert ~ Lil Uzi Vert Vs. The World",134
"Spring","Juice WRLD ~ Death Race for Love",134
"Winter","Joey Bada$$ ~ B4.DA.$$",134
"Winter","Logic ~ Bobby Tarantino II",134
"Summer","Snoop Dogg ~ COOLAID",133
"Summer","Chance the Rapper ~ Coloring Book",133
"Summer","Ty Dolla $ign ~ Free TC",133
"Summer","Trippie Redd ~ LIFE'S A TRIP",133
"Summer","Lil Skies ~ Life of a Dark Rose",133
"Summer","Amine ~ Limbo",131
"Winter","Daniel Caesar ~ Freudian",131
"Fall","BROCKHAMPTON ~ SATURATION III",130
"Summer","Daniel Caesar ~ CASE STUDY 01",130
"Fall","Trippie Redd ~ A Love Letter to You 2",129
"Spring","J. Cole ~ Born Sinner",129
"Spring","ScHoolboy Q ~ Oxymoron",129
"Summer","Drake ~ Certified Lover Boy",129
"Summer","Jay Rock ~ Redemption",129
"Winter","Kanye West ~ My Beautiful Dark Twisted Fantasy",129
"Winter","Macklemore & Ryan Lewis ~ This Unruly Mess I've Made",128
"Spring","Lil Yachty ~ Teenage Emotions",127
"Winter","Kanye West ~ The Life of Pablo",127
"Fall","Lil Baby, Gunna ~ Drip Harder",126
"Fall","Bryson Tiller ~ True to Self",126
"Spring","Anderson .Paak ~ Ventura",126
"Summer","EARTHGANG ~ Mirrorland",126
"Summer","whiterosemoxie ~ grae ceilings",126
"Summer","whiterosemoxie ~ white ceilings",126
"Winter","PARTYNEXTDOOR ~ COLOURS",126
"Spring","Earl Sweatshirt ~ Doris",125
"Spring","KIDS SEE GHOSTS ~ KIDS SEE GHOSTS",125
"Winter","Lil Yachty ~ ",125
"Winter","Jack Harlow ~ Confetti",125
"Fall","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",124
"Spring","Young Thug, Young Stoner Life ~ Slime Language 2",124
"Spring","Polo G ~ THE GOAT",124
"Spring","Smino ~ blkswn",124
"Summer","Roddy Ricch ~ Please Excuse Me For Being Antisocial",124
"Winter","Kid Cudi ~ Indicud",124
"Fall","Tory Lanez ~ LoVE me NOw",123
"Fall","Amine ~ TWOPOINTFIVE",123
"Spring","The Weeknd ~ After Hours",123
"Fall","Mike WiLL Made-It ~ Ransom 2",122
"Summer","Dr. Dre ~ 2001",122
"Summer","Dro Kenji ~ LOST IN HERE",122
"Summer","Jonah Zed ~ Lovewontwait",122
"Winter","SiR ~ Judas and the Black Messiah: The Inspired Album",122
"Fall","Future ~ HNDRXX",121
"Fall","Joey Bada$$ ~ Summer Knights",121
"Fall","Ramzoid ~ WORLD",121
"Summer","Rae Sremmurd ~ SremmLife 2",121
"Winter","Lil Wayne ~ Funeral",121
"Winter","A Boogie wit da Hoodie ~ Hoodie SZN",121
"Winter","NAV ~ NAV",121
"Winter","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",121
"Winter","Mick Jenkins ~ The Healing Component",121
"Spring","Knxwledge ~ 1988",120
"Spring","Lil Skies ~ Life of a Dark Rose",120
"Spring","Kanye West ~ ye",120
"Fall","Drake ~ Views",119
"Summer","Madlib, Freddie Gibbs ~ Bandana",119
"Winter","XXXTENTACION ~ ?",119
"Fall","Ab-Soul ~ Do What Thou Wilt",118
"Fall","Anderson .Paak ~ Oxnard",118
"Summer","J. Cole ~ Born Sinner",118
"Summer","PnB Rock ~ GTTM: Goin Thru the Motions",118
"Fall","Quavo ~ QUAVO HUNCHO",117
"Fall","Mac Miller ~ The Divine Feminine",117
"Spring","Lil Uzi Vert ~ Lil Uzi Vert Vs. The World",117
"Spring","Mir Fontane ~ Macaroni Tony",117
"Spring","Kendrick Lamar ~ untitled unmastered.",117
"Summer","Tory Lanez ~ MEMORIES DON'T DIE",117
"Winter","Offset ~ FATHER OF 4",117
"Fall","Trippie Redd ~ A Love Letter to You 3",116
"Fall","SZA ~ SOS",116
"Summer","Drake ~ Views",115
"Fall","Joey Bada$$ ~ 1999",114
"Spring","Kanye West ~ Graduation",114
"Summer","Mick Jenkins ~ Wave[s]",114
"Fall","Kid Cudi ~ Indicud",113
"Fall","Sheck Wes ~ MUDBOY",113
"Fall","Isaiah Rashad ~ The House Is Burning",113
"Summer","Vince Staples ~ Big Fish Theory",113
"Summer","Lil Uzi Vert ~ Eternal Atake",113
"Spring","midwxst ~ better luck next time.",112
"Winter","Isaiah Rashad ~ The House Is Burning",112
"Fall","Takeoff ~ The Last Rocket",111
"Summer","Joey Bada$$ ~ 2000",111
"Summer","Playboi Carti ~ Playboi Carti",111
"Summer","BROCKHAMPTON ~ SATURATION II",111
"Winter","Playboi Carti ~ Whole Lotta Red",111
"Winter","Kid Cudi ~ Man On the Moon: The End of Day",110
"Winter","Mac Miller ~ Swimming",110
"Spring","Guapdad 4000, !llmind ~ 1176",109
"Winter","Mick Jenkins ~ The Circus",109
"Spring","The 1975 ~ The 1975",108
"Winter","Jack Harlow ~ Sweet Action",108
"Winter","21 Savage ~ i am > i was",108
"Fall","Drake ~ Nothing Was the Same",107
"Spring","Kanye West ~ My Beautiful Dark Twisted Fantasy",107
"Summer","Earl Sweatshirt ~ I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",107
"Winter","Lil Uzi Vert ~ Lil Uzi Vert Vs. The World",107
"Spring","Jaden ~ SYRE",106
"Spring","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",106
"Spring","Pink Floyd ~ The Dark Side of the Moon",106
"Spring","JID ~ The Never Story",106
"Winter","Felly ~ Mariposa",106
"Winter","Dave East ~ P2",106
"Fall","Juice WRLD, Future ~ Future & Juice WRLD Present... WRLD ON DRUGS",105
"Fall","Jack Harlow ~ Gazebo",105
"Fall","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",105
"Summer","Southside, G Herbo ~ Swervo",105
"Summer","VIC MENSA ~ The Autobiography",105
"Winter","Young Thug ~ JEFFERY",105
"Winter","Lil Yachty ~ Lil Boat 2",105
"Fall","Trippie Redd ~ A Love Letter to You 4",104
"Fall","Koi ~ Trial & Error",104
"Spring","Joey Bada$$ ~ 1999",104
"Spring","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",104
"Summer","Lil Uzi Vert ~ RED & WHITE",104
"Winter","J. Cole ~ KOD",104
"Winter","slowthai ~ TYRON",104
"Fall","PARTYNEXTDOOR ~ PARTYMOBILE",103
"Spring","Logic ~ Bobby Tarantino II",103
"Winter","J. Cole ~ Born Sinner",103
"Spring","Beast Coast ~ Escape From New York",102
"Spring","Kota the Friend ~ Everything",102
"Spring","Daniel Caesar ~ Freudian",102
"Spring","The Underachievers ~ Renaissance",102
"Summer","Dave East ~ Paranoia: A True Story",102
"Winter","Earl Sweatshirt ~ Doris",102
"Fall","Aries ~ FOOL'S GOLD - Single",101
"Fall","Kendrick Lamar ~ Section.80",101
"Fall","Kanye West ~ The Life of Pablo",101
"Spring","SZA ~ Ctrl",101
"Fall","Amine ~ Limbo",100
"Fall","DJ Khaled ~ Major Key",100
"Fall","Rae Sremmurd ~ SremmLife 2",100
"Spring","Jay Rock ~ Redemption",100
"Winter","The Weeknd ~ Dawn FM",100
"Winter","Omen, Dreamville, Cozz ~ Revenge of the Dreamers III: Director's Cut",100
"Spring","Travis Scott ~ ASTROWORLD",99
"Spring","The Beach Boys ~ Pet Sounds",99
"Summer","Wiz Khalifa ~ Rolling Papers 2",99
"Fall","PnB Rock ~ GTTM: Goin Thru the Motions",98
"Fall","MAVI ~ Laughing so Hard, it Hurts",98
"Fall","Kendrick Lamar ~ Overly Dedicated",98
"Fall","whiterosemoxie ~ TROJAN",98
"Spring","Greta Van Fleet ~ From the Fires",98
"Spring","Anderson .Paak ~ Venice",98
"Summer","Kanye West ~ My Beautiful Dark Twisted Fantasy",98
"Summer","Kid Cudi ~ Passion, Pain & Demon Slayin'",98
"Spring","ScHoolboy Q ~ CrasH Talk",97
"Spring","Kid Cudi ~ Man On the Moon: The End of Day",97
"Winter","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",97
"Fall","Miguel ~ War & Leisure",96
"Spring","Joyner Lucas ~ 508-507-2209",96
"Spring","BROCKHAMPTON ~ SATURATION III",96
"Summer","Kanye West ~ Donda",96
"Fall","Kanye West ~ The College Dropout",95
"Summer","Joey Purp ~ QUARTERTHING",95
"Summer","Vince Staples ~ RAMONA PARK BROKE MY HEART",95
"Winter","JID ~ DiCaprio 2",95
"Summer","XXXTENTACION ~ 17",94
"Summer","Radiohead ~ OK Computer",94
"Fall","Kanye West ~ Late Registration",93
"Spring","Daniyel ~ 82",93
"Spring","Tory Lanez ~ The New Toronto 3",93
"Summer","Action Bronson ~ Blue Chips 7000",93
"Winter","Joey Bada$$ ~ 1999",93
"Winter","Drake ~ If You're Reading This It's Too Late",93
"Winter","Hippo Campus ~ LP3",93
"Fall","Rae Sremmurd ~ SremmLife",92
"Fall","REASON ~ There You Have It",92
"Spring","Gunna ~ Drip or Drown 2",92
"Spring","Kanye West ~ The College Dropout",92
"Spring","Mick Jenkins ~ The Healing Component",92
"Spring","Denzel Curry ~ ZUU",92
"Summer","Bryson Tiller ~ A N N I V E R S A R Y",92
"Summer","2 Chainz ~ Pretty Girls Like Trap Music",92
"Winter","Jay Rock ~ Redemption",92
"Spring","Jack Harlow ~ Confetti",91
"Fall","Drake ~ More Life",90
"Spring","Post Malone ~ Twelve Carat Toothache",90
"Fall","Logic ~ YSIV",89
"Spring","Lil Uzi Vert ~ Luv Is Rage 2",89
"Spring","Kid Cudi ~ Passion, Pain & Demon Slayin'",89
"Summer","Logic ~ Under Pressure",89
"Winter","Earl Sweatshirt ~ I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",89
"Fall","Playboi Carti ~ Die Lit",88
"Spring","Bryson Tiller ~ A N N I V E R S A R Y",88
"Spring","Jack Harlow ~ Come Home The Kids Miss You",88
"Spring","Jazz Cartier ~ Hotel Paranoia",88
"Summer","Jaden ~ ERYS",88
"Winter","whiterosemoxie ~ white ceilings",88
"Fall","Jack Harlow ~ Thats What They All Say",87
"Winter","Gunna ~ DS4EVER",87
"Winter","Kanye West ~ Late Registration",87
"Fall","Jazz Cartier ~ Marauding in Paradise",86
"Spring","BROCKHAMPTON ~ ROADRUNNER: NEW LIGHT, NEW MACHINE",86
"Summer","Daniyel ~ 82",86
"Winter","WESTSIDE BOOGIE ~ Everythings for Sale",85
"Winter","PARTYNEXTDOOR ~ PARTYMOBILE",85
"Fall","Gucci Mane ~ Mr. Davis",84
"Fall","Mac Miller ~ Swimming",84
"Spring","Future ~ High Off Life",84
"Summer","Tyler, The Creator ~ IGOR",84
"Summer","Ariana Grande ~ Sweetener",84
"Spring","XXXTENTACION ~ ?",83
"Spring","Famous Dex ~ Dex Meets Dexter",83
"Spring","Smino ~ NOIR",83
"Summer","Danny Brown ~ Atrocity Exhibition",83
"Winter","ScHoolboy Q ~ Blank Face LP",83
"Winter","Joey Bada$$ ~ Summer Knights",83
"Spring","Khalid ~ American Teen",82
"Spring","NxWorries, Knxwledge, Anderson .Paak ~ Yes Lawd!",82
"Summer","Pusha T ~ DAYTONA",82
"Summer","Desiigner ~ New English",82
"Summer","A$AP Rocky ~ TESTING",82
"Winter","Playboi Carti ~ Die Lit",82
"Winter","Joey Purp ~ QUARTERTHING",82
"Spring","Trippie Redd ~ A Love Letter to You 2",81
"Spring","Future ~ HNDRXX",81
"Spring","Mick Jenkins ~ Wave[s]",81
"Summer","A$AP Mob ~ Cozy Tapes, Vol. 1: Friends",81
"Summer","6LACK ~ FREE 6LACK",81
"Summer","Logic ~ No Pressure",81
"Winter","Saba ~ Few Good Things",81
"Fall","Eminem ~ Revival",80
"Fall","Smino ~ blkswn",80
"Spring","Lil Durk, Lil Baby ~ The Voice of the Heroes",80
"Winter","Miguel ~ War & Leisure",80
"Fall","Juice WRLD ~ Death Race for Love",79
"Fall","Tory Lanez ~ MEMORIES DON'T DIE",79
"Fall","Radiohead ~ OK Computer",79
"Winter","Trippie Redd ~ A Love Letter to You 3",79
"Winter","Kanye West ~ The College Dropout",79
"Summer","DJ Khaled ~ Grateful",78
"Winter","whiterosemoxie ~ grae ceilings",78
"Fall","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",77
"Fall","Young Thug ~ JEFFERY",77
"Fall","Kendrick Lamar ~ untitled unmastered.",77
"Spring","Arctic Monkeys ~ AM",77
"Spring","6LACK ~ FREE 6LACK",77
"Spring","Mir Fontane ~ Who's Watching the Kids 2",77
"Summer","Ty Dolla $ign ~ Beach House 3",77
"Summer","Mac Miller ~ The Divine Feminine",77
"Summer","Anderson .Paak ~ Venice",77
"Winter","Dr. Dre ~ 2001",77
"Fall","J. Cole ~ Born Sinner",76
"Summer","Travis Scott, Quavo, HUNCHO JACK ~ Huncho Jack, Jack Huncho",76
"Summer","Pop Smoke ~ Shoot For The Stars Aim For The Moon",76
"Summer","Jonah Zed ~ Summer In Slow Motion",76
"Winter","Flyboy Tarantino, Craig Xen ~ XXXTENTACION Presents: Members Only, Vol. 4",76
"Spring","PnB Rock ~ GTTM: Goin Thru the Motions",75
"Spring","Denzel Curry ~ Melt My Eyez See Your Future",75
"Summer","Johnny Rain ~ Idol Blue",75
"Summer","Smino ~ blkswn",75
"Winter","Young Thug, Future ~ SUPER SLIMEY",75
"Spring","Tory Lanez ~ MEMORIES DON'T DIE",74
