"ID","Hour","Song","Plays"
"5tsI3xxDHDgzHhn30LTQNz","05","mike. ~ These Days",19
"20MuVazoNMv6xjKPnRFOxG","05","Travis Scott ~ WAKE UP",19
"3sTN90bIP2cJ1783ctHykO","06","Mura Masa ~ Love$ick (feat. A$AP Rocky)",19
"6IZvVAP7VPPnsGX6bvgkqg","06","Kendrick Lamar ~ PRIDE.",19
"5tsI3xxDHDgzHhn30LTQNz","06","mike. ~ These Days",19
"2ZWlPOoWh0626oTaHrnl2a","07","Frank Ocean ~ Ivy",19
"4BdGO1CaObRD4La9l5Zanz","07","Foster The People ~ Sit Next to Me",19
"1P9LiOkE3LnKSYsoz1F8A7","17","Kendrick Lamar ~ PRIDE.",19
"3sTN90bIP2cJ1783ctHykO","20","Mura Masa ~ Love$ick (feat. A$AP Rocky)",19
"51EC3I1nQXpec4gDk0mQyP","21","Travis Scott ~ 90210 (feat. Kacy Hill)",19
"27a1mYSG5tYg7dmEjWBcmL","21","Travis Scott ~ CAN'T SAY",19
"6gBFPUFcJLzWGx4lenP6h2","21","Travis Scott ~ goosebumps",19
"20dP2DaMHIAmwWAbp7peSr","21","Young Thug ~ pick up the phone",19
"1wHZx0LgzFHyeIZkUydNXq","22","Travis Scott ~ Antidote",19
"7EiZI6JVHllARrX9PUvAdX","22","Future ~ Low Life (feat. The Weeknd)",19
"6ECp64rv50XVz93WvxXMGF","22","Maroon 5 ~ This Love",19
"7KXjTSCq5nL1LoYtL7XAwS","23","Kendrick Lamar ~ HUMBLE.",19
"4rHZZAmHpZrA3iH5zx8frV","00","Justin Timberlake ~ Mirrors",18
"1wHZx0LgzFHyeIZkUydNXq","01","Travis Scott ~ Antidote",18
"4KW1lqgSr8TKrvBII0Brf8","01","Kanye West ~ Father Stretch My Hands Pt. 1",18
"1P9LiOkE3LnKSYsoz1F8A7","03","Kendrick Lamar ~ PRIDE.",18
"2c8sgbZoEanC3QyFNZxUcA","04","Logic ~ Flexicution",18
"4RVbK6cV0VqWdpCDcx3hiT","04","KIDS SEE GHOSTS ~ Reborn",18
"3pXF1nA74528Edde4of9CC","05","Bryson Tiller ~ Don't",18
"1GtVGc1UYin3zpMUdNSSpM","05","Logic ~ Midnight",18
"5jyyPsIGM2yqkZN9R3TmvN","05","Khalid ~ The Ways (with Swae Lee)",18
"7lAK3oHbfEnvUQWosrMMpR","05","Travis Scott ~ YOSEMITE",18
"62vpWI1CHwFy7tMIcSStl8","06","J. Cole ~ No Role Modelz",18
"1xYpVRspgaLxdJLOTQkTjg","06","Travis Scott ~ STOP TRYING TO BE GOD",18
"4BGZF4oLbTL0pWm7C18pbv","06","The Weeknd ~ Scared To Live",18
"6Nle9hKrkL1wQpwNfEkxjh","07","Frank Ocean ~ Chanel",18
"4RVbK6cV0VqWdpCDcx3hiT","07","KIDS SEE GHOSTS ~ Reborn",18
"51EC3I1nQXpec4gDk0mQyP","19","Travis Scott ~ 90210 (feat. Kacy Hill)",18
"4GXl8l1MfZPf2GvpyRPJBf","20","Young Thug ~ pick up the phone",18
"6gpcs5eMhJwax4mIfKDYQk","21","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",18
"52ztI2AthLbmFHyGE3CzSl","22","Roy Woods ~ Monday to Monday",18
"51EC3I1nQXpec4gDk0mQyP","23","Travis Scott ~ 90210 (feat. Kacy Hill)",18
"4KW1lqgSr8TKrvBII0Brf8","23","Kanye West ~ Father Stretch My Hands Pt. 1",18
"7szuecWAPwGoV1e5vGu8tl","23","The Weeknd ~ In Your Eyes",18
"1wHZx0LgzFHyeIZkUydNXq","00","Travis Scott ~ Antidote",17
"6I6NX6tjGsxFAsIfGzY9lJ","00","J. Cole ~ Deja Vu",17
"7tr2za8SQg2CI8EDgrdtNl","00","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",17
"7szuecWAPwGoV1e5vGu8tl","01","The Weeknd ~ In Your Eyes",17
"2tznHmp70DxMyr2XhWLOW0","02","Cage The Elephant ~ Cigarette Daydreams",17
"51EC3I1nQXpec4gDk0mQyP","03","Travis Scott ~ 90210 (feat. Kacy Hill)",17
"27a1mYSG5tYg7dmEjWBcmL","04","Travis Scott ~ CAN'T SAY",17
"20TYNq9o5sdBAbkCWE9ih7","04","Alina Baraz ~ Electric (feat. Khalid)",17
"2p8IUWQDrpjuFltbdgLOag","05","The Weeknd ~ After Hours",17
"1NrJYpdAi7uosDRPmSYrsG","05","OneRepublic ~ Apologize",17
"6Nle9hKrkL1wQpwNfEkxjh","05","Frank Ocean ~ Chanel",17
"03MWa1FMygR3RrQoQytsjS","05","Kid Cudi ~ Cudi Zone",17
"3ojTJaonfkL96iIWa47SU3","05","Chris Brown ~ Questions",17
"20dP2DaMHIAmwWAbp7peSr","05","Young Thug ~ pick up the phone",17
"20MuVazoNMv6xjKPnRFOxG","06","Travis Scott ~ WAKE UP",17
"51EC3I1nQXpec4gDk0mQyP","18","Travis Scott ~ 90210 (feat. Kacy Hill)",17
"2p8IUWQDrpjuFltbdgLOag","19","The Weeknd ~ After Hours",17
"3nAq2hCr1oWsIU54tS98pL","19","Kanye West ~ Waves",17
"6ECp64rv50XVz93WvxXMGF","20","Maroon 5 ~ This Love",17
"43DHLzDkncpby82Po5jlOZ","21","Queen ~ Don't Stop Me Now",17
"58TaFP5j5i9swOf584yon2","22","Travis Scott ~ HOUSTONFORNICATION",17
"6MtKObWYda2qnNIpJI21uD","22","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",17
"1wHZx0LgzFHyeIZkUydNXq","23","Travis Scott ~ Antidote",17
"27a1mYSG5tYg7dmEjWBcmL","23","Travis Scott ~ CAN'T SAY",17
"4rHZZAmHpZrA3iH5zx8frV","23","Justin Timberlake ~ Mirrors",17
"1QEEqeFIZktqIpPI4jSVSF","23","Boston ~ More Than a Feeling",17
"6IZvVAP7VPPnsGX6bvgkqg","23","Kendrick Lamar ~ PRIDE.",17
"6gpcs5eMhJwax4mIfKDYQk","23","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",17
"7szuecWAPwGoV1e5vGu8tl","00","The Weeknd ~ In Your Eyes",16
"62vpWI1CHwFy7tMIcSStl8","00","J. Cole ~ No Role Modelz",16
"5hVghJ4KaYES3BFUATCYn0","01","Tyler, The Creator ~ EARFQUAKE",16
"3ee8Jmje8o58CHK66QrVC2","01","XXXTENTACION ~ SAD!",16
"1xYpVRspgaLxdJLOTQkTjg","01","Travis Scott ~ STOP TRYING TO BE GOD",16
"0rFpcfF0YfvFUYsl99Bw9d","01","Kid Cudi ~ Soundtrack 2 My Life",16
"124NFj84ppZ5pAxTuVQYCQ","01","Drake ~ Take Care",16
"7KXjTSCq5nL1LoYtL7XAwS","02","Kendrick Lamar ~ HUMBLE.",16
"6LxSe8YmdPxy095Ux6znaQ","03","Drake ~ Headlines",16
"4BdGO1CaObRD4La9l5Zanz","03","Foster The People ~ Sit Next to Me",16
"3nAq2hCr1oWsIU54tS98pL","03","Kanye West ~ Waves",16
"51EC3I1nQXpec4gDk0mQyP","04","Travis Scott ~ 90210 (feat. Kacy Hill)",16
"7BKUWh5sdtdS17crohRe4L","04","Logic ~ Black SpiderMan",16
"4BdGO1CaObRD4La9l5Zanz","04","Foster The People ~ Sit Next to Me",16
"5jyyPsIGM2yqkZN9R3TmvN","04","Khalid ~ The Ways (with Swae Lee)",16
"22VdIZQfgXJea34mQxlt81","05","The Weeknd ~ Can't Feel My Face",16
"4EWCNWgDS8707fNSZ1oaA5","05","Kanye West ~ Heartless",16
"0m1KYWlT6LhFRBDVq9UNx4","06","Drake ~ HYFR (Hell Ya Fucking Right)",16
"0DJBgBiYeSn6n1AXAkFVE8","06","Jorja Smith ~ I Am",16
"4RVbK6cV0VqWdpCDcx3hiT","06","KIDS SEE GHOSTS ~ Reborn",16
"2yg7MXp8nSPaf61HVkhEr3","06","Kid Cudi ~ The Void",16
"6gBFPUFcJLzWGx4lenP6h2","06","Travis Scott ~ goosebumps",16
"20TYNq9o5sdBAbkCWE9ih7","07","Alina Baraz ~ Electric (feat. Khalid)",16
"7szuecWAPwGoV1e5vGu8tl","07","The Weeknd ~ In Your Eyes",16
"2GtaNlidzvK3hY78kCdsHa","07","Kid Cudi ~ Marijuana",16
"6gpcs5eMhJwax4mIfKDYQk","19","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",16
"7KXjTSCq5nL1LoYtL7XAwS","20","Kendrick Lamar ~ HUMBLE.",16
"6NMtzpDQBTOfJwMzgMX0zl","20","Travis Scott ~ SKELETONS",16
"5tsI3xxDHDgzHhn30LTQNz","20","mike. ~ These Days",16
"6sy3LkhNFjJWlaeSMNwQ62","21","OneRepublic ~ Counting Stars",16
"5jyyPsIGM2yqkZN9R3TmvN","21","Khalid ~ The Ways (with Swae Lee)",16
"76hfruVvmfQbw0eYn1nmeC","22","DNCE ~ Cake By The Ocean",16
"58TaFP5j5i9swOf584yon2","23","Travis Scott ~ HOUSTONFORNICATION",16
"1LmN9SSHISbtp9LoaR5ZVJ","23","Maroon 5 ~ Payphone",16
"2cYqizR4lgvp4Qu6IQ3qGN","00","Travis Scott ~ BUTTERFLY EFFECT",15
"5WNYg3usc6H8N3MBEp4zVk","00","Tyler, The Creator ~ Boredom (feat. Rex Orange County & Anna of the North)",15
"6sy3LkhNFjJWlaeSMNwQ62","00","OneRepublic ~ Counting Stars",15
"4PnNzWe1LJoAMD5j5RHpI0","00","Joey Bada$$ ~ DEVASTATED",15
"3sTN90bIP2cJ1783ctHykO","00","Mura Masa ~ Love$ick (feat. A$AP Rocky)",15
"4BGZF4oLbTL0pWm7C18pbv","00","The Weeknd ~ Scared To Live",15
"7KA4W4McWYRpgf0fWsJZWB","00","Tyler, The Creator ~ See You Again (feat. Kali Uchis)",15
"4BdGO1CaObRD4La9l5Zanz","02","Foster The People ~ Sit Next to Me",15
"1Kp6WFxRzc0sRBmGSgIYat","03","Logic ~ Gang Related",15
"5ujh1I7NZH5agbwf7Hp8Hc","03","Kendrick Lamar ~ Swimming Pools (Drank) - Extended Version",15
"7lAK3oHbfEnvUQWosrMMpR","03","Travis Scott ~ YOSEMITE",15
"2p8IUWQDrpjuFltbdgLOag","04","The Weeknd ~ After Hours",15
"7EiZI6JVHllARrX9PUvAdX","04","Future ~ Low Life (feat. The Weeknd)",15
"6IZvVAP7VPPnsGX6bvgkqg","04","Kendrick Lamar ~ PRIDE.",15
"6ECp64rv50XVz93WvxXMGF","04","Maroon 5 ~ This Love",15
"20dP2DaMHIAmwWAbp7peSr","04","Young Thug ~ pick up the phone",15
"2tznHmp70DxMyr2XhWLOW0","05","Cage The Elephant ~ Cigarette Daydreams",15
"7KXjTSCq5nL1LoYtL7XAwS","05","Kendrick Lamar ~ HUMBLE.",15
"6LxSe8YmdPxy095Ux6znaQ","05","Drake ~ Headlines",15
"3sTN90bIP2cJ1783ctHykO","05","Mura Masa ~ Love$ick (feat. A$AP Rocky)",15
"7EiZI6JVHllARrX9PUvAdX","05","Future ~ Low Life (feat. The Weeknd)",15
"4rHZZAmHpZrA3iH5zx8frV","05","Justin Timberlake ~ Mirrors",15
"0AOvNRgl0SMfOibWA5bP8o","05","Kendrick Lamar ~ Money Trees",15
"6IZvVAP7VPPnsGX6bvgkqg","05","Kendrick Lamar ~ PRIDE.",15
"3nAq2hCr1oWsIU54tS98pL","05","Kanye West ~ Waves",15
"1wHZx0LgzFHyeIZkUydNXq","06","Travis Scott ~ Antidote",15
"0rFpcfF0YfvFUYsl99Bw9d","06","Kid Cudi ~ Soundtrack 2 My Life",15
"4Kz4RdRCceaA9VgTqBhBfa","06","Drake ~ The Motto",15
"3d9DChrdc6BOeFsbrZ3Is0","06","Red Hot Chili Peppers ~ Under the Bridge",15
"7vgTNTaEz3CsBZ1N4YQalM","07","Kanye West ~ Ghost Town",15
"7EiZI6JVHllARrX9PUvAdX","16","Future ~ Low Life (feat. The Weeknd)",15
"6NMtzpDQBTOfJwMzgMX0zl","18","Travis Scott ~ SKELETONS",15
"5WoaF1B5XIEnWfmb5NZikf","18","Miguel ~ Sky Walker (feat. Travis Scott)",15
"5tsI3xxDHDgzHhn30LTQNz","18","mike. ~ These Days",15
"3nAq2hCr1oWsIU54tS98pL","18","Kanye West ~ Waves",15
"0AOvNRgl0SMfOibWA5bP8o","19","Kendrick Lamar ~ Money Trees",15
"7szuecWAPwGoV1e5vGu8tl","20","The Weeknd ~ In Your Eyes",15
"5aqUqSq0SqGBAqEn27PEzc","20","Kanye West ~ Pure Souls",15
"3QFInJAm9eyaho5vBzxInN","20","Baby Keem ~ family ties (with Kendrick Lamar)",15
"2Zy7XVdxyZQB8xp5xbpJdl","20","Travis Scott ~ way back",15
"6b5P51m8xx2XA6U7sdNZ5E","21","The Weeknd ~ Alone Again",15
"1cKHdTo9u0ZymJdPGSh6nq","21","The Weeknd ~ I Was Never There",15
"4XNrMwGx1SqP01sqkGTDmo","21","Maroon 5 ~ One More Night",15
"2tPcTFiQF9MbVUyjZ3zDhA","21","SOB X RBE ~ Paramedic!",15
"3nAq2hCr1oWsIU54tS98pL","21","Kanye West ~ Waves",15
"6sy3LkhNFjJWlaeSMNwQ62","22","OneRepublic ~ Counting Stars",15
"6LxSe8YmdPxy095Ux6znaQ","22","Drake ~ Headlines",15
"7szuecWAPwGoV1e5vGu8tl","22","The Weeknd ~ In Your Eyes",15
"3sTN90bIP2cJ1783ctHykO","22","Mura Masa ~ Love$ick (feat. A$AP Rocky)",15
"1xYpVRspgaLxdJLOTQkTjg","22","Travis Scott ~ STOP TRYING TO BE GOD",15
"5tsI3xxDHDgzHhn30LTQNz","22","mike. ~ These Days",15
"2ZltjIqztEpZtafc8w0I9t","23","Childish Gambino ~ 3005",15
"3xby7fOyqmeON8jsnom0AT","23","Travis Scott ~ Nightcrawler (feat. Swae Lee & Chief Keef)",15
"5VuxWXbt7XENQCtE9TzpTv","23","Post Malone ~ Spoil My Night (feat. Swae Lee)",15
"2p8IUWQDrpjuFltbdgLOag","00","The Weeknd ~ After Hours",14
"4KW1lqgSr8TKrvBII0Brf8","00","Kanye West ~ Father Stretch My Hands Pt. 1",14
"2pClJ2sX3lMEXUG6FUaRqO","00","Pacific Air ~ Float",14
"2ZWlPOoWh0626oTaHrnl2a","00","Frank Ocean ~ Ivy",14
"4XNrMwGx1SqP01sqkGTDmo","00","Maroon 5 ~ One More Night",14
"3nAq2hCr1oWsIU54tS98pL","00","Kanye West ~ Waves",14
"27a1mYSG5tYg7dmEjWBcmL","01","Travis Scott ~ CAN'T SAY",14
"20TYNq9o5sdBAbkCWE9ih7","01","Alina Baraz ~ Electric (feat. Khalid)",14
"62vpWI1CHwFy7tMIcSStl8","01","J. Cole ~ No Role Modelz",14
"0wXuerDYiBnERgIpbb3JBR","01","Childish Gambino ~ Redbone",14
"6LxSe8YmdPxy095Ux6znaQ","02","Drake ~ Headlines",14
"4aVuWgvD0X63hcOCnZtNFA","02","TOTO ~ Hold the Line",14
"5tsI3xxDHDgzHhn30LTQNz","02","mike. ~ These Days",14
"2HbKqm4o0w5wEeEFXm2sD4","03","Kendrick Lamar ~ Money Trees",14
"1xYpVRspgaLxdJLOTQkTjg","03","Travis Scott ~ STOP TRYING TO BE GOD",14
"7KXjTSCq5nL1LoYtL7XAwS","04","Kendrick Lamar ~ HUMBLE.",14
"7KA4W4McWYRpgf0fWsJZWB","04","Tyler, The Creator ~ See You Again (feat. Kali Uchis)",14
"5WoaF1B5XIEnWfmb5NZikf","04","Miguel ~ Sky Walker (feat. Travis Scott)",14
"1cdC9TCqyLwAlsw3fVJaJS","04","Kid Cudi ~ Soundtrack 2 My Life",14
"5tz69p7tJuGPeMGwNTxYuV","05","Logic ~ 1-800-273-8255",14
"3O8NlPh2LByMU9lSRSHedm","05","Drake ~ Controlla",14
"6sy3LkhNFjJWlaeSMNwQ62","05","OneRepublic ~ Counting Stars",14
"2ZWlPOoWh0626oTaHrnl2a","05","Frank Ocean ~ Ivy",14
"2xLMifQCjDGFmkHkpNLD9h","05","Travis Scott ~ SICKO MODE",14
"3d9DChrdc6BOeFsbrZ3Is0","05","Red Hot Chili Peppers ~ Under the Bridge",14
"2Ch7LmS7r2Gy2kc64wv3Bz","06","The Weeknd ~ Die For You",14
"7KXjTSCq5nL1LoYtL7XAwS","06","Kendrick Lamar ~ HUMBLE.",14
"6LxSe8YmdPxy095Ux6znaQ","06","Drake ~ Headlines",14
"2ZWlPOoWh0626oTaHrnl2a","06","Frank Ocean ~ Ivy",14
"6PGoSes0D9eUDeeAafB2As","06","Kendrick Lamar ~ LOVE. FEAT. ZACARI.",14
"2mxByJWOajjiVsLWjNXvDJ","06","The Beatles ~ Oh! Darling - Remastered 2009",14
"2tPcTFiQF9MbVUyjZ3zDhA","06","SOB X RBE ~ Paramedic!",14
"0Fs9cdPDhptWEDJmiCbkEW","06","J. Cole ~ She Knows (feat. Amber Coffman & Cults)",14
"3iH29NcCxYgI5shlkZrUoB","06","iann dior ~ gone girl",14
"1wHZx0LgzFHyeIZkUydNXq","07","Travis Scott ~ Antidote",14
"5JEx7HbmvHQQswJCsoo9rA","07","Ellie Goulding ~ Close To Me (with Diplo) (feat. Swae Lee)",14
"5hVghJ4KaYES3BFUATCYn0","07","Tyler, The Creator ~ EARFQUAKE",14
"7a86XRg84qjasly9f6bPSD","07","fun. ~ We Are Young (feat. Janelle Monae)",14
"1P9LiOkE3LnKSYsoz1F8A7","08","Kendrick Lamar ~ PRIDE.",14
"6NMtzpDQBTOfJwMzgMX0zl","08","Travis Scott ~ SKELETONS",14
"5jyyPsIGM2yqkZN9R3TmvN","17","Khalid ~ The Ways (with Swae Lee)",14
"15EPc80XuFrb2LmOzGjuRg","18","GoldLink ~ Crew (feat. Brent Faiyaz & Shy Glizzy)",14
"7EiZI6JVHllARrX9PUvAdX","19","Future ~ Low Life (feat. The Weeknd)",14
"2tPcTFiQF9MbVUyjZ3zDhA","19","SOB X RBE ~ Paramedic!",14
"6NMtzpDQBTOfJwMzgMX0zl","19","Travis Scott ~ SKELETONS",14
"51EC3I1nQXpec4gDk0mQyP","20","Travis Scott ~ 90210 (feat. Kacy Hill)",14
"0Z1nbG2KOuRKntstSAkSox","20","Tory Lanez ~ FeRRis WhEEL (feat. Trippie Redd)",14
"6gpcs5eMhJwax4mIfKDYQk","20","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",14
"4PnNzWe1LJoAMD5j5RHpI0","21","Joey Bada$$ ~ DEVASTATED",14
"5TRPicyLGbAF2LGBFbHGvO","21","Kanye West ~ Flashing Lights",14
"6ECp64rv50XVz93WvxXMGF","21","Maroon 5 ~ This Love",14
"0aym2LBJBk9DAYuHHutrIl","22","The Beatles ~ Hey Jude - Remastered 2015",14
"2OSfEYKhlSsLx6vn4O75RK","22","The Jackson 5 ~ I Want You Back",14
"4rHZZAmHpZrA3iH5zx8frV","22","Justin Timberlake ~ Mirrors",14
"0AOvNRgl0SMfOibWA5bP8o","22","Kendrick Lamar ~ Money Trees",14
"7KA4W4McWYRpgf0fWsJZWB","22","Tyler, The Creator ~ See You Again (feat. Kali Uchis)",14
"5IdrsGhB8D7RwNwGra9V6i","22","blackbear ~ chateau",14
"5SkRLpaGtvYPhw02vZhQQ9","23","Kanye West ~ All Falls Down",14
"2V4bv1fNWfTcyRJKmej6Sj","23","Mike Posner ~ Cooler Than Me - Single Mix",14
"5hVghJ4KaYES3BFUATCYn0","23","Tyler, The Creator ~ EARFQUAKE",14
"7EiZI6JVHllARrX9PUvAdX","23","Future ~ Low Life (feat. The Weeknd)",14
"7KA4W4McWYRpgf0fWsJZWB","23","Tyler, The Creator ~ See You Again (feat. Kali Uchis)",14
"20dP2DaMHIAmwWAbp7peSr","23","Young Thug ~ pick up the phone",14
"0VjIjW4GlUZAMYd2vXMi3b","00","The Weeknd ~ Blinding Lights",13
"27a1mYSG5tYg7dmEjWBcmL","00","Travis Scott ~ CAN'T SAY",13
"6HZILIRieu8S0iqY8kIKhj","00","Kendrick Lamar ~ DNA.",13
"3orEOtd8CPL8GFlpRpKuoE","00","The Weeknd ~ Faith",13
"0m1KYWlT6LhFRBDVq9UNx4","00","Drake ~ HYFR (Hell Ya Fucking Right)",13
"4aVuWgvD0X63hcOCnZtNFA","00","TOTO ~ Hold the Line",13
"2rMFawCg4BW65jzbwztXAV","00","Travis Scott ~ Oh My Dis Side (feat. Quavo)",13
"4P0osvTXoSYZZC2n8IFH3c","00","Maroon 5 ~ Payphone",13
"2p8IUWQDrpjuFltbdgLOag","01","The Weeknd ~ After Hours",13
"2cYqizR4lgvp4Qu6IQ3qGN","01","Travis Scott ~ BUTTERFLY EFFECT",13
"4EWCNWgDS8707fNSZ1oaA5","01","Kanye West ~ Heartless",13
"0AOvNRgl0SMfOibWA5bP8o","01","Kendrick Lamar ~ Money Trees",13
"5iSEsR6NKjlC9SrIJkyL3k","01","Kid Cudi ~ Pursuit Of Happiness (Nightmare)",13
"4RVbK6cV0VqWdpCDcx3hiT","01","KIDS SEE GHOSTS ~ Reborn",13
"7wBJfHzpfI3032CSD7CE2m","01","Travis Scott ~ STARGAZING",13
"20MuVazoNMv6xjKPnRFOxG","01","Travis Scott ~ WAKE UP",13
"7lAK3oHbfEnvUQWosrMMpR","01","Travis Scott ~ YOSEMITE",13
"6HZILIRieu8S0iqY8kIKhj","02","Kendrick Lamar ~ DNA.",13
"7EiZI6JVHllARrX9PUvAdX","02","Future ~ Low Life (feat. The Weeknd)",13
