"Song","Artist","Plays","First Listen","ID"
"Alright","Kendrick Lamar",137,"2017-05-28","3iVcZ5G6tvkXZkZKlMpIUs"
"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",137,"2019-01-09","5JEx7HbmvHQQswJCsoo9rA"
"Don't","Bryson Tiller",137,"2016-04-28","3pXF1nA74528Edde4of9CC"
"m.A.A.d city","Kendrick Lamar",137,"2017-06-03","439TlnnznSiBbQbgXiBqAd"
"DEVASTATED","Joey Bada$$",136,"2017-05-16","4ntsD33Pgsgk8rUyZLLiUV"
"Payphone","Maroon 5",135,"2017-10-07","1LmN9SSHISbtp9LoaR5ZVJ"
"BUTTERFLY EFFECT","Travis Scott",134,"2017-08-24","2cYqizR4lgvp4Qu6IQ3qGN"
"Hurt You","The Weeknd",133,"2018-03-30","6QdnKD1zwEgyOWtkrdzlOF"
"Outside (feat. Ellie Goulding)","Calvin Harris",131,"2018-01-02","7MmG8p0F9N3C4AXdK6o6Eb"
"3005","Childish Gambino",130,"2016-04-26","2ZltjIqztEpZtafc8w0I9t"
"Champion (feat. Travis Scott)","NAV",130,"2018-10-31","6nO3tr47nr2P7f3hXb8JIo"
"Faith","The Weeknd",130,"2020-03-20","3orEOtd8CPL8GFlpRpKuoE"
"Here Comes The Sun - Remastered 2009","The Beatles",130,"2017-10-11","6dGnYIeXmHdcikdzNNDMm2"
"Spoil My Night (feat. Swae Lee)","Post Malone",130,"2018-04-28","5VuxWXbt7XENQCtE9TzpTv"
"Oh! Darling - Remastered 2009","The Beatles",129,"2018-12-02","2mxByJWOajjiVsLWjNXvDJ"
"Cudi Zone","Kid Cudi",128,"2020-11-10","6P9uVc2SxCOAiextf4udxk"
"Monday to Monday","Roy Woods",128,"2017-12-14","52ztI2AthLbmFHyGE3CzSl"
"Let It Be - Remastered 2009","The Beatles",127,"2017-10-11","7iN1s7xHE4ifF5povM6A48"
"Apologize","OneRepublic",126,"2017-09-05","1NrJYpdAi7uosDRPmSYrsG"
"We Are Young (feat. Janelle Monae)","fun.",126,"2018-08-12","7a86XRg84qjasly9f6bPSD"
"Save Your Tears","The Weeknd",125,"2020-03-20","5QO79kh1waicV47BqGRL3g"
"Boredom (feat. Rex Orange County & Anna of the North)","Tyler, The Creator",124,"2017-07-26","5WNYg3usc6H8N3MBEp4zVk"
"More Than a Feeling","Boston",124,"2017-10-08","1QEEqeFIZktqIpPI4jSVSF"
"Black SpiderMan","Logic",123,"2017-06-27","7BKUWh5sdtdS17crohRe4L"
"Everybody","Logic",123,"2017-05-16","7cGFbx7MP0H23iHZTZpqMM"
"Can't Tell Me Nothing","Kanye West",122,"2019-09-06","2MIBAmYwiuGoKUlpq9B9sZ"
"Flexicution","Logic",122,"2017-06-27","2c8sgbZoEanC3QyFNZxUcA"
"Gang Related","Logic",122,"2017-05-16","1Kp6WFxRzc0sRBmGSgIYat"
"Take Care","Drake",122,"2017-09-10","124NFj84ppZ5pAxTuVQYCQ"
"family ties (with Kendrick Lamar)","Baby Keem",122,"2021-09-10","3QFInJAm9eyaho5vBzxInN"
"My Sweet Lord - Remastered 2014","George Harrison",121,"2019-01-19","0qdQUeKVyevrbKhAo0ibxS"
"STARGAZING","Travis Scott",121,"2018-08-03","7wBJfHzpfI3032CSD7CE2m"
"Mr. Rager","Kid Cudi",120,"2020-06-13","393MDhe62s8hbH8ETrlxe5"
"KIKA","6ix9ine",119,"2019-02-21","6VRwEqn7BvsN0dChfDrMAf"
"Midnight","Logic",118,"2018-03-09","1GtVGc1UYin3zpMUdNSSpM"
"Cooler Than Me - Single Mix","Mike Posner",117,"2019-09-26","2V4bv1fNWfTcyRJKmej6Sj"
"Flashing Lights","Kanye West",117,"2019-09-06","31I3Rt1bPa2LrE74DdNizO"
"Timeless Interlude","Bryson Tiller",117,"2020-10-02","6Iw6fQVKZi0fWtEQBrTFcP"
"idfc","blackbear",117,"2017-06-08","6y6jbcPG4Yn3Du4moXaenr"
"Alone Again","The Weeknd",116,"2020-03-20","6b5P51m8xx2XA6U7sdNZ5E"
"All Of The Lights","Kanye West",115,"2017-09-05","22L7bfCiAkJo5xGSQgmiIO"
"Questions","Chris Brown",115,"2017-09-13","5XQMr19TL7Mfksq9zihbOu"
"Stairway to Heaven - Remaster","Led Zeppelin",115,"2018-02-09","5CQ30WqJwcep0pYcV4AMNc"
"Day 'N' Nite (nightmare)","Kid Cudi",114,"2017-11-16","5FEXPoPnzueFJQCPRIrC3c"
"Scared To Live","The Weeknd",114,"2020-03-20","4BGZF4oLbTL0pWm7C18pbv"
"She Knows (feat. Amber Coffman & Cults)","J. Cole",114,"2017-05-27","282L6SR4Y8Rs0VUgtEy1Zw"
"do re mi","blackbear",114,"2017-06-15","3Q3myFA7q4Op95DOpHplaY"
"DUCKWORTH.","Kendrick Lamar",113,"2017-05-16","0y9uTzK9cNKSAEHnpeRG8C"
"The Motto","Drake",112,"2017-12-15","4Kz4RdRCceaA9VgTqBhBfa"
"gone girl","iann dior",112,"2019-11-10","6G0FACzGN80Dj2v4ass5rq"
"THRU THE NIGHT (feat. Bryson Tiller)","Jack Harlow",111,"2019-12-05","1AgSUWSzmza5jF6ER5R68v"
"Backseat Freestyle","Kendrick Lamar",110,"2017-06-19","3aGibUHhQyBsyumYHylw0K"
"Controlla","Drake",110,"2017-12-14","3O8NlPh2LByMU9lSRSHedm"
"Glad You Came","The Wanted",110,"2017-09-18","3AGOgQzp0YcPH41u9p7dOp"
"LOVE. FEAT. ZACARI.","Kendrick Lamar",110,"2017-05-29","6PGoSes0D9eUDeeAafB2As"
"Passionfruit","Drake",110,"2017-10-09","5mCPDVBb16L4XQwDdbRUpz"
"Tribe (with J. Cole)","Bas",110,"2019-08-06","0YAQnYt2oB8OdoaeqnHyTI"
"Blinding Lights","The Weeknd",109,"2019-12-05","0VjIjW4GlUZAMYd2vXMi3b"
"What If","Coldplay",109,"2020-03-18","39qRdHcl2tizWbzlM9kUlN"
"Call Me","NAV",108,"2017-07-25","1xpXnpIpuvzpx9jz15baJF"
"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Daft Punk",108,"2017-03-28","69kOkLUCkxIZYexIgSG8rq"
"Rather Be (feat. Jess Glynne)","Clean Bandit",108,"2017-09-13","3s4U7OHV7gnj42VV72eSZ6"
"chateau","blackbear",108,"2017-06-08","13JyykwyYQ3T5QxxL34ukQ"
"One of These Nights - 2013 Remaster","Eagles",107,"2018-06-13","608xszaAxVh4m7NcKJiAbF"
"Fuck Love (feat. Trippie Redd)","XXXTENTACION",106,"2017-10-24","7AQim7LbvFVZJE3O8TYgf2"
"ORANGE SODA","Baby Keem",106,"2020-03-07","5FkoSXiJPKTNyYgALRJFhD"
"Pure Souls","Kanye West",106,"2021-08-29","5aqUqSq0SqGBAqEn27PEzc"
"ELEMENT.","Kendrick Lamar",104,"2017-05-16","1EaKU4dMbesXXd3BrLCtYG"
"Peace of Mind","Boston",104,"2017-10-15","1GqlvSEtMx5xbGptxOTTyk"
"ASTROTHUNDER","Travis Scott",103,"2018-08-03","4MXhiYIRDMGAuvZc5IFTwC"
"WARSAW (feat. 2forwOyNE)","Jack Harlow",103,"2021-04-27","2ihL1KGMA0geIqGT5pkZzo"
"Homecoming","Kanye West",102,"2020-07-12","2ovQ5MCx91XVjgVWEPfvks"
"Luv Is Dro (feat. Static Major & Bryson Tiller)","Jack Harlow",102,"2021-05-29","0LcsvJQSFIQo3RjNhPcYqT"
"Sweet Home Alabama","Lynyrd Skynyrd",102,"2017-10-15","7e89621JPkKaeDSTQ3avtg"
"Hey Jude - Remastered 2015","The Beatles",101,"2017-09-02","0aym2LBJBk9DAYuHHutrIl"
"Piano Man","Billy Joel",101,"2019-01-28","3FCto7hnn1shUyZL42YgfO"
"Crew (feat. Brent Faiyaz & Shy Glizzy)","GoldLink",100,"2018-06-19","15EPc80XuFrb2LmOzGjuRg"
"Enter Galactic (Love Connection Part I)","Kid Cudi",99,"2019-03-27","6Bs8KdjRAuv3rzCIdchXwu"
"Gorgeous","Kanye West",99,"2020-06-13","23SZWX2IaDnxmhFsSLvkG2"
"Nightcrawler (feat. Swae Lee & Chief Keef)","Travis Scott",99,"2018-12-21","3xby7fOyqmeON8jsnom0AT"
"20 Min","Lil Uzi Vert",98,"2019-12-12","0uxSUdBrJy9Un0EYoBowng"
"Clocks","Coldplay",98,"2018-01-06","0BCPKOYdS2jbQ8iyB56Zns"
"Marijuana","Kid Cudi",98,"2020-06-18","2GtaNlidzvK3hY78kCdsHa"
"Out of My League","Fitz and The Tantrums",98,"2021-02-15","2AYEOC02WLhUiOoaig2SEH"
"Over","Drake",98,"2016-04-24","6BdgtqiV3oXNqBikezwdvC"
"Run Me Dry","Bryson Tiller",98,"2017-07-15","5GG3knKdxKWrNboRijxeKF"
"SYLVIA (feat. 2forwOyNE)","Jack Harlow",98,"2021-03-12","1AVm6MTy8qpaFi0gAa7Hlw"
"Touch The Sky","Kanye West",98,"2019-09-17","2dxjKgT0li4qBI3QwuN9Ih"
"No Idea","Don Toliver",97,"2019-09-10","7AzlLxHn24DxjgQX73F9fU"
"Social Cues","Cage The Elephant",97,"2021-07-28","1KuVdyg8d6NlRhbpHxg5UF"
"Whatcha Say","Jason Derulo",97,"2017-05-16","2zJZwWF7BTGIIvrAlgzJEx"
"Hotel California - 2013 Remaster","Eagles",96,"2017-09-05","40riOy7x9W7GXjyGp4pjAv"
"I Want You Back","The Jackson 5",95,"2018-12-27","2OSfEYKhlSsLx6vn4O75RK"
"Redemption (with Babes Wodumo)","Zacari",95,"2018-02-09","76iVOVsliCHlWqKuDnCfhE"
"Sundress","A$AP Rocky",95,"2019-09-17","2aPTvyE09vUCRwVvj0I8WK"
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",94,"2017-12-14","5Gu0PDLN4YJeW75PpBSg9p"
"Locked out of Heaven","Bruno Mars",94,"2018-06-19","3w3y8KPTfNeOKPiqUTakBh"
"Love Lockdown","Kanye West",94,"2019-09-06","1kxeWHF9PrCVZHvVskv8lg"
"NO BYSTANDERS","Travis Scott",94,"2018-08-03","6OaVWaGfhXn70ZJfdVcabn"
"Redbone","Childish Gambino",94,"2017-11-28","0wXuerDYiBnERgIpbb3JBR"
"Sunny Day","Dizaro",94,"2018-09-14","26Ke3Jpz2WY7sV1Yojgz2p"
"Up Up & Away","Kid Cudi",94,"2020-11-10","6MWH4pJQ5QYjidX2A2KECd"
"Come a Little Closer","Cage The Elephant",93,"2021-05-26","4sebUbjqbcgDSwG6PbSGI0"
"LOYAL (feat. Drake)","PARTYNEXTDOOR",93,"2019-11-22","5bvnqVuq7UFl0txSlHpsfS"
"0 To 100 / The Catch Up","Drake",92,"2017-06-08","4jtyUzZm9WLc2AdaJ1dso7"
"1-800-273-8255","Logic",92,"2017-06-30","5tz69p7tJuGPeMGwNTxYuV"
"92 Explorer","Post Malone",92,"2018-10-14","1D2L6MefbXon28PzIk9I3r"
"ROXANNE","Arizona Zervas",92,"2019-11-01","696DnlkuDOXcMAnKlTgXXK"
"Runaway","Kanye West",92,"2020-07-10","3DK6m7It6Pw857FcQftMds"
"Some Nights","fun.",92,"2018-09-10","6t6oULCRS6hnI7rm0h5gwl"
"Sour Patch Kids","Bryce Vine",92,"2021-02-15","1Pyxh8ERS8aouSSOQVvVsz"
"Know No Better","Major Lazer",91,"2017-08-12","6BKeNWeUqxmvQ09Gxd3ZGX"
"Ultralight Beam","Kanye West",91,"2019-07-06","1eQBEelI2NCy7AUTerX0KS"
"Telescope","Cage The Elephant",90,"2021-05-27","0tkBOcK7oRVXQJY97zzSvr"
"Tuesday (feat. Drake)","ILOVEMAKONNEN",90,"2017-11-22","2znzyzlAUc8Z1Ikq9aFOcx"
"Until I Bleed Out","The Weeknd",90,"2020-03-20","2BcnxwxBuar5wjCaLqm5N3"
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","Mustard",89,"2019-08-08","2zjGJ0dChMR0KxBZS15aqo"
"Cafeteria (feat. Gunna)","CHASE B",89,"2020-10-13","7l28SBHS3zmKDVnOzG8BM7"
"G Walk (with Chris Brown)","Lil Mosey",89,"2019-08-17","7BxpObs6K7Yio5lVb3sMYX"
"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",89,"2018-01-30","1eLSF6HfrRA0AsNmTkUlKx"
"Love Me Harder","Ariana Grande",89,"2018-03-29","5J4ZkQpzMUFojo1CtAZYpn"
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Dreamville",88,"2019-07-21","5WnfnSpuNEGXyEt78PBA6d"
"One I Want (feat. PARTYNEXTDOOR)","Majid Jordan",88,"2017-09-08","6RD9GItAGZ3gbUbx14okHF"
"T-Shirt","Migos",88,"2017-12-14","7KOlJ92bu51cltsD9KU5I7"
"Can't Feel My Face","The Weeknd",87,"2016-04-30","22VdIZQfgXJea34mQxlt81"
"Love Galore (feat. Travis Scott)","SZA",87,"2017-10-20","0q75NwOoFiARAVp4EXU4Bs"
"Moon","Kanye West",87,"2021-08-29","7CC6UbCs4iGsePSzFxYxNn"
"Nights","Frank Ocean",87,"2019-12-19","7eqoqGkKwgOaWNNHx90uEZ"
"Wet Dreamz","J. Cole",87,"2017-06-04","6Ius4TC0L3cN74HT7ENE6e"
"Worst Behavior","Drake",87,"2017-09-25","48RN2EOOyG2Gs5Pyla7ZJj"
"Dream On","Aerosmith",86,"2017-10-16","5MxNLUsfh7uzROypsoO5qe"
"I WANNA SEE SOME ASS (feat. jetsonmade)","Jack Harlow",86,"2021-03-04","2aWVaW1p2kUc5yuKwBmRJi"
"Self Care","Mac Miller",86,"2018-11-17","5bJ1DrEM4hNCafcDd1oxHx"
"Cake By The Ocean","DNCE",85,"2018-03-20","76hfruVvmfQbw0eYn1nmeC"
"I Feel It Coming","The Weeknd",85,"2017-03-27","3dhjNA0jGA8vHBQ1VdD6vV"
"Mob Ties","Drake",85,"2019-01-16","7rC5Pl8rQSX4myONQHYPBK"
"X (with 2 Chainz & Saudi)","ScHoolboy Q",85,"2018-02-09","4LmAnpjlhWTahvRkYR8xJa"
"lose","Travis Scott",85,"2018-09-07","2AGUFka8kBWCM47h5uTlDb"
"Free Smoke","Drake",84,"2017-07-02","05KOgYg8PGeJyyWBPi5ja8"
"Lights - Single Version","Ellie Goulding",84,"2018-04-07","44906V2WC6k59u06A8CO9D"
"Love Me Again","John Newman",84,"2019-05-28","5VSCgNlSmTV2Yq5lB40Eaw"
"Mixed Personalities (feat. Kanye West)","YNW Melly",84,"2019-05-25","6vWEAOUSxohKxhp0K1BsxL"
"The Hills","The Weeknd",84,"2017-04-13","7fBv7CLKzipRk6EC6TWHOB"
"HEAVY HITTER","Jack Harlow",83,"2019-11-09","7zJld1LpGmLsPt8IGOc0KL"
"Laugh Now Cry Later (feat. Lil Durk)","Drake",83,"2020-08-14","2SAqBLGA283SUiwJ3xOUVI"
"Memories (feat. Kid Cudi)","David Guetta",83,"2016-04-20","4dTaAiV9xFFCxnPur9c9yL"
"Hardest To Love","The Weeknd",82,"2020-03-20","6kWxIqQDsKFYCJGbU4AjCX"
"Reminder","The Weeknd",82,"2017-06-28","37F0uwRSrdzkBiuj0D5UHI"
"Sober","Childish Gambino",82,"2018-01-09","5NhlpQ6BOIz3S5welptk1W"
"i","Kendrick Lamar",82,"2017-06-30","7wdzLe2Gsx1RGqbvYZHASz"
"BOP","DaBaby",81,"2019-10-25","6Ozh9Ok6h4Oi1wUSLtBseN"
"Lake Shore Drive","Aliotta Haynes Jeremiah",81,"2019-01-22","46MX86XQqYCZRvwPpeq4Gi"
"A Day In The Life","The Beatles",80,"2018-12-08","4Qd0ojqwezaDyHpZWlhQt5"
"Ballin' (with Roddy Ricch)","Mustard",80,"2019-09-22","3QzAOrNlsabgbMwlZt7TAY"
"Island In The Sun","Weezer",80,"2020-01-15","2MLHyLy5z5l5YRp7momlgw"
"Love Me","Lil Wayne",80,"2017-06-17","7tGlzXJv6GD5e5qlu5YmDg"
"Try Me","The Weeknd",80,"2018-03-30","4ppTAJUbNXELZcoUaL90wo"
"ocean eyes","Billie Eilish",80,"2019-01-16","7hDVYcQq6MxkdJGweuCtl9"
"A.D.H.D","Kendrick Lamar",79,"2017-07-05","2Fw5S2gaOSZzdN5dFoC2dj"
"Off the Planet","Bryce Hase",79,"2019-11-15","3rbRruu8hsnbGPBra7xxh1"
"hooligan","Baby Keem",79,"2021-03-15","02iYJG3KLBJODa5JkQ4O6y"
"sweet sweet","Travis Scott",79,"2019-12-16","01Ch5LzVStxCFPKkT1xg6k"
"All My Love - Remaster","Led Zeppelin",78,"2018-09-23","5hhVpGIBlqAU5yJEOmrk5o"
"Euphoria (feat. Travis Scott & Kaash Paige)","Don Toliver",78,"2020-03-13","13QU8HBEBaSTZGq1HzQe9S"
"Riptide","Vance Joy",78,"2018-02-14","3JvrhDOgAt6p7K8mDyZwRd"
"Tiny Dancer","Elton John",78,"2017-09-05","2TVxnKdb3tqe1nhQWwwZCO"
"Another One Bites The Dust","Queen",77,"2018-12-03","291RmMazWAmDitFuD6NJCv"
"I Won't Back Down","Tom Petty",77,"2017-10-08","7gSQv1OHpkIoAdUiRLdmI6"
"King Kunta","Kendrick Lamar",77,"2017-06-21","0N3W5peJUQtI4eyR6GJT5O"
"Location","Khalid",77,"2017-05-08","152lZdxL1OR0ZMW6KquMif"
"Love Yourself","Justin Bieber",77,"2017-06-16","50kpGaPAhYJ3sGmk6vplg0"
"Maps","Maroon 5",77,"2017-09-27","4gbVRS8gloEluzf0GzDOFc"
"Sing About Me, I'm Dying Of Thirst","Kendrick Lamar",77,"2017-07-05","3q2v8QaTnHLveAQzR6gvYm"
"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",77,"2017-09-25","2eAZfqOm4EnOF9VvN50Tyc"
"You Can Count On Me","Ansel Elgort",77,"2018-01-08","2qwYI0iwHZbFXZzq0QGgMP"
"Erase Me - Main","Kid Cudi",76,"2020-06-13","6XkuklKiHYVTlVvWlTgQYP"
"Project Dreams","Marshmello",76,"2019-09-20","6GSkLS2y4ZnnZsuRAj975K"
"Stronger","Kanye West",76,"2017-05-28","6C7RJEIUDqKkJRZVWdkfkH"
"Video Girl","Don Toliver",76,"2020-09-11","3CAz01GipLndFoWGYTYFeF"
"FlatBed Freestyle","Playboi Carti",75,"2019-08-22","5nayhWICkQGMTkisxVMbRw"
"Martin & Gina","Polo G",75,"2021-02-05","1VLtjHwRWOVJiE5Py7JxoQ"
"Poetic Justice","Kendrick Lamar",75,"2018-01-30","2P3SLxeQHPqh8qKB6gtJY2"
"Unforgettable","French Montana",75,"2017-07-03","3B54sVLJ402zGa6Xm4YGNe"
"XXX. FEAT. U2.","Kendrick Lamar",75,"2017-06-22","4iYRa2btalAzPZoSYfROqF"
"All The Stars (with SZA)","Kendrick Lamar",74,"2018-01-06","3GCdLUSnKSMJhs4Tj6CV3s"
"FRIENDS","Marshmello",74,"2018-06-27","08bNPGLD8AhKpnnERrAc6G"
"GHOST","Jack Harlow",74,"2020-03-12","70whMGrt6rwbkPlXGNtTBw"
"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk",74,"2018-09-04","2Foc5Q5nqNiosCNqttzHof"
"Rollin (feat. Future & Khalid)","Calvin Harris",74,"2017-06-15","3FDrI0FLKzrYQiWxPhqV2W"
"Would You Ever","Skrillex",74,"2017-09-11","57p8CBvPOxrvyCbn6ttl5r"
"Bank Account","21 Savage",73,"2017-07-13","5eqK0tbzUPo2SoeZsov04s"
"Devil In A New Dress","Kanye West",72,"2020-07-08","1UGD3lW3tDmgZfAVDh6w7r"
"Good Life","Kanye West",72,"2019-09-06","4ZPdLEztrlZqbJkgHNw54L"
"My Type","Saint Motel",72,"2021-02-15","2Iq6HhIquO7JKr0KfTNLzU"
"Nice For What","Drake",72,"2018-04-07","3CA9pLiwRIGtUBiMjbZmRw"
"Pray For Me (with Kendrick Lamar)","The Weeknd",72,"2018-02-02","77UjLW8j5UAGAGVGhR5oUK"
"Redemption Interlude","Zacari",72,"2018-02-09","4FpfU1O7WCLBnmwu5XAFk4"
"The Chain - 2004 Remaster","Fleetwood Mac",72,"2018-12-27","5e9TFTbltYBg2xThimr0rU"
"Too Late","The Weeknd",72,"2020-03-20","2K9Ovn1o2bTGqbsABGC6m3"
"Adventure of a Lifetime","Coldplay",71,"2021-02-15","69uxyAqqPIsUyTO8txoP2M"
"Apple Pie","Travis Scott",71,"2020-05-08","6scpNkWEmUxmKY7nYjVLsX"
"Blue Tint","Drake",71,"2018-07-03","4n1bdaKwynQndm47x5HqWX"
"Call Out My Name","The Weeknd",71,"2018-03-30","09mEdoA6zrmBPgTEN5qXmN"
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky",71,"2016-04-25","4X5f3vT8MRuXF68pfjNte5"
"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",71,"2020-07-21","0ada5XsQGLPUVbmTCkAP49"
"SICKO MODE","Travis Scott",71,"2018-08-03","2xLMifQCjDGFmkHkpNLD9h"
"Sympathy For The Devil - 50th Anniversary Edition","The Rolling Stones",71,"2019-12-17","1Ud6moTC0KyXMq1Oxfien0"
"Trap Paris (feat. Quavo & Ty Dolla $ign)","Machine Gun Kelly",71,"2017-10-06","5hfpu8saHLGedbHRtNCYjm"
